iter	Passed	Remaining
0	600	179585
1	973	145101
2	1348	133497
3	1737	128570
4	2075	122441
5	2420	118607
6	2757	115404
7	3102	113224
8	3441	111278
9	3754	108888
10	4078	107151
11	4422	106136
12	4739	104633
13	5064	103464
14	5396	102540
15	5726	101646
16	6051	100738
17	6378	99923
18	6770	100138
19	7246	101447
20	7806	103708
21	8637	109143
22	9411	113341
23	10046	115539
24	10593	116531
25	11139	117396
26	11692	118222
27	12210	118617
28	12726	118926
29	13239	119155
30	13785	119622
31	14314	119880
32	14832	120005
33	15351	120101
34	15861	120094
35	16390	120198
36	16896	120103
37	17406	120015
38	17921	119938
39	18445	119895
40	18954	119735
41	19628	120575
42	20233	120931
43	20783	120922
44	21284	120613
45	21793	120340
46	22298	120031
47	22789	119644
48	23380	119764
49	23923	119616
50	24344	118859
51	24769	118129
52	25194	117418
53	25616	116697
54	26026	115934
55	26440	115205
56	26857	114497
57	27271	113786
58	27686	113090
59	28093	112374
60	28508	111695
61	28925	111034
62	29345	110395
63	29771	109781
64	30198	109178
65	30634	108614
66	31063	108026
67	31487	107428
68	31908	106824
69	32327	106220
70	32742	105604
71	33162	105013
72	33579	104417
73	34008	103862
74	34449	103349
75	34860	102747
76	35278	102170
77	35696	101597
78	36135	101086
79	36599	100647
80	37031	100123
81	37450	99564
82	37864	98996
83	38302	98491
84	38723	97947
85	39143	97403
86	39577	96896
87	39995	96352
88	40436	95865
89	40857	95333
90	41274	94794
91	41686	94248
92	42083	93669
93	42469	93072
94	42857	92481
95	43254	91915
96	43639	91328
97	44021	90738
98	44410	90166
99	44810	89620
100	45197	89053
101	45590	88498
102	45982	87946
103	46369	87388
104	46756	86833
105	47141	86277
106	47533	85737
107	47916	85185
108	48308	84650
109	48712	84139
110	49132	83657
111	49555	83182
112	49978	82707
113	50391	82218
114	50810	81738
115	51226	81255
116	51657	80797
117	52083	80331
118	52499	79852
119	52919	79379
120	53339	78907
121	53756	78431
122	54173	77957
123	54587	77478
124	55002	77003
125	55411	76521
126	55824	76044
127	56231	75560
128	56644	75087
129	57054	74609
130	57470	74140
131	57886	73673
132	58297	73200
133	58709	72730
134	59121	72259
135	59535	71793
136	59946	71323
137	60368	70867
138	60800	70423
139	61228	69975
140	61645	69514
141	62063	69056
142	62488	68606
143	62904	68146
144	63321	67688
145	63742	67235
146	64162	66781
147	64579	66324
148	65006	65879
149	65426	65426
150	65855	64983
151	66272	64528
152	66751	64133
153	67199	63708
154	67673	63307
155	68135	62894
156	68569	62454
157	68997	62010
158	69424	61565
159	69848	61117
160	70265	60664
161	70691	60218
162	71107	59765
163	71528	59316
164	71921	58844
165	72310	58371
166	72693	57893
167	73088	57426
168	73469	56949
169	73856	56478
170	74247	56011
171	74637	55544
172	75020	55072
173	75402	54601
174	75786	54133
175	76184	53675
176	76566	53207
177	76966	52752
178	77355	52290
179	77739	51826
180	78133	51369
181	78514	50905
182	78931	50464
183	79429	50075
184	80009	49735
185	80565	49378
186	81063	48984
187	81559	48588
188	82091	48212
189	82552	47793
190	82998	47365
191	83425	46926
192	83873	46499
193	84323	46073
194	84762	45641
195	85193	45204
196	85622	44766
197	86112	44361
198	86579	43942
199	87025	43512
200	87446	43070
201	87890	42639
202	88316	42200
203	88748	41763
204	89195	41334
205	89640	40903
206	90083	40472
207	90509	40033
208	90923	39588
209	91336	39144
210	91754	38702
211	92174	38261
212	92624	37832
213	93059	37397
214	93473	36954
215	93891	36513
216	94308	36072
217	94719	35628
218	95147	35191
219	95573	34753
220	96003	34317
221	96441	33884
222	96883	33452
223	97319	33019
224	97748	32582
225	98194	32152
226	98616	31713
227	99055	31280
228	99502	30849
229	99938	30415
230	100385	29985
231	100828	29553
232	101309	29131
233	101885	28736
234	102426	28330
235	102868	27896
236	103305	27460
237	103812	27043
238	104329	26627
239	104859	26214
240	105384	25799
241	105863	25372
242	106354	24947
243	106863	24526
244	107327	24094
245	107768	23656
246	108252	23228
247	108799	22812
248	109314	22389
249	109757	21951
250	110184	21510
251	110645	21075
252	111069	20633
253	111498	20192
254	111963	19758
255	112550	19344
256	113079	18919
257	113617	18495
258	114140	18068
259	114691	17644
260	115255	17222
261	115808	16796
262	116368	16371
263	116944	15947
264	117490	15517
265	118038	15087
266	118608	14659
267	119150	14226
268	119703	13794
269	120254	13361
270	120794	12926
271	121320	12488
272	121871	12053
273	122494	11623
274	123118	11192
275	123764	10762
276	124366	10326
277	124976	9890
278	125577	9452
279	126209	9014
280	126851	8577
281	127502	8138
282	128068	7693
283	128600	7245
284	129111	6795
285	129628	6345
286	130157	5895
287	130666	5444
288	131176	4992
289	131700	4541
290	132139	4086
291	132604	3633
292	133096	3179
293	133606	2726
294	134109	2273
295	134600	1818
296	135076	1364
297	135570	909
298	136040	454
299	136522	0
