iter	MultiClass
0	1.746656162
1	1.707874024
2	1.677501375
3	1.650992224
4	1.627990586
5	1.608126194
6	1.591317906
7	1.575859497
8	1.562443819
9	1.550848915
10	1.540696503
11	1.530779357
12	1.520214041
13	1.510391568
14	1.500555445
15	1.494114799
16	1.486388592
17	1.478530321
18	1.470708191
19	1.46420238
20	1.457039441
21	1.449575856
22	1.441064588
23	1.4343542
24	1.427095282
25	1.421262173
26	1.416713612
27	1.410606304
28	1.406824731
29	1.400096857
30	1.394761056
31	1.390890713
32	1.384578853
33	1.37992498
34	1.37470455
35	1.369654459
36	1.364646448
37	1.359372021
38	1.353795303
39	1.349203713
40	1.344605249
41	1.341711573
42	1.337642845
43	1.334163974
44	1.330495646
45	1.325288491
46	1.321660604
47	1.318192435
48	1.315607447
49	1.311680838
50	1.307937814
51	1.30501892
52	1.300328061
53	1.296853637
54	1.292323641
55	1.289646912
56	1.286394638
57	1.283022289
58	1.27955802
59	1.276636873
60	1.273721696
61	1.270154113
62	1.267297143
63	1.263461136
64	1.261358828
65	1.258593267
66	1.256151582
67	1.253223751
68	1.249838011
69	1.247200586
70	1.244176527
71	1.241246196
72	1.237453926
73	1.234765019
74	1.231619638
75	1.228223484
76	1.224808055
77	1.222012665
78	1.219336815
79	1.216260903
80	1.213970285
81	1.211230625
82	1.208441763
83	1.20547366
84	1.202720924
85	1.200009371
86	1.197586447
87	1.194265884
88	1.191627458
89	1.188731241
90	1.186108483
91	1.182990697
92	1.17971504
93	1.177082247
94	1.174326733
95	1.171599987
96	1.169160869
97	1.165944798
98	1.163306641
99	1.160820133
100	1.158297508
101	1.155575757
102	1.152248605
103	1.149216182
104	1.146625992
105	1.14412565
106	1.141455797
107	1.13890908
108	1.135831395
109	1.133205087
110	1.13052149
111	1.127836617
112	1.125219243
113	1.122478563
114	1.120037668
115	1.117534679
116	1.115057665
117	1.112416351
118	1.110059008
119	1.107459021
120	1.104958391
121	1.102841274
122	1.100238966
123	1.09760423
124	1.094595057
125	1.092372827
126	1.090067419
127	1.087827334
128	1.08557685
129	1.083347403
130	1.081165552
131	1.078674162
132	1.076210781
133	1.073883359
134	1.071655461
135	1.069486113
136	1.067417009
137	1.064513605
138	1.061875746
139	1.059841596
140	1.05763584
141	1.055488663
142	1.053330893
143	1.051193253
144	1.049285709
145	1.047140511
146	1.044862967
147	1.042865378
148	1.040852425
149	1.038575395
150	1.036632144
151	1.034629515
152	1.032586301
153	1.030639845
154	1.028499776
155	1.026503045
156	1.02443486
157	1.022596963
158	1.020790606
159	1.018824785
160	1.016900518
161	1.01476551
162	1.012857121
163	1.010737859
164	1.008979407
165	1.007250135
166	1.00509731
167	1.002908513
168	1.001124629
169	0.9992712356
170	0.9974958312
171	0.9955116762
172	0.9935712657
173	0.9918245506
174	0.9902033713
175	0.9885556138
176	0.9869170313
177	0.984920378
178	0.9830447262
179	0.9810459311
180	0.9793287825
181	0.9777307715
182	0.9759424975
183	0.9742921547
184	0.9725372775
185	0.9708999966
186	0.9692507157
187	0.9676143304
188	0.9656703931
189	0.9640099659
190	0.9625377406
191	0.9609324589
192	0.9592888543
193	0.957296855
194	0.9557129215
195	0.9539578654
196	0.9523233231
197	0.9506434081
198	0.9489803221
199	0.9472185689
200	0.9455966995
201	0.9439401468
202	0.9424610564
203	0.9408981699
204	0.9391812763
205	0.9375215173
206	0.9357744259
207	0.9340764548
208	0.9325531025
209	0.9310959284
210	0.9296498659
211	0.9277478946
212	0.9263201534
213	0.9248805583
214	0.9229792435
215	0.9215247997
216	0.9200433971
217	0.918518889
218	0.9169994974
219	0.9153731494
220	0.914092756
221	0.9127805646
222	0.9112065311
223	0.909815933
224	0.9084402561
225	0.9070015695
226	0.9054301868
227	0.9040326558
228	0.9026174777
229	0.90108786
230	0.899671314
231	0.8982135545
232	0.8967206985
233	0.8952947541
234	0.8941032167
235	0.892654585
236	0.8912758049
237	0.8900174748
238	0.8886668256
239	0.8874895459
240	0.8862294573
241	0.8848552449
242	0.8834895295
243	0.8820045075
244	0.8807652326
245	0.8793905224
246	0.8781344732
247	0.8767248712
248	0.8754150123
249	0.8740840129
250	0.8728486155
251	0.8716628877
252	0.8703503556
253	0.8689818718
254	0.8672521361
255	0.8658103714
256	0.8646214161
257	0.8632004106
258	0.8618508759
259	0.8603892831
260	0.8590934715
261	0.8576740897
262	0.8563928923
263	0.8552473924
264	0.8542358482
265	0.8529128922
266	0.8516195966
267	0.850398619
268	0.8490456667
269	0.8477851543
270	0.8464291206
271	0.8451811689
272	0.8438925431
273	0.842612648
274	0.8413331882
275	0.8402368601
276	0.8390547058
277	0.8379159653
278	0.8366100876
279	0.835425286
280	0.8342951968
281	0.8332384557
282	0.8319966409
283	0.8309459409
284	0.8297115637
285	0.8285944671
286	0.8275276755
287	0.8264522745
288	0.8253984503
289	0.8242779357
290	0.8231267972
291	0.822059704
292	0.8208650356
293	0.8195459623
294	0.818409178
295	0.8174400522
296	0.8162118864
297	0.8150968551
298	0.8138065599
299	0.8126366653
